calBP,PrDens,PrDens_Taphonomic,Site
49728,0.000425999,0.000272346,Border Cave
49727,0.000426121,0.000272417,Border Cave
49726,0.000426243,0.000272488,Border Cave
49725,0.000426366,0.000272559,Border Cave
49724,0.000426488,0.00027263,Border Cave
49723,0.00042661,0.0002727,Border Cave
49722,0.000426732,0.000272771,Border Cave
49721,0.000426855,0.000272842,Border Cave
49720,0.000426977,0.000272913,Border Cave
49719,0.000427087,0.000272976,Border Cave
49718,0.000427197,0.000273039,Border Cave
49717,0.000427307,0.000273102,Border Cave
49716,0.000427417,0.000273165,Border Cave
49715,0.000427527,0.000273228,Border Cave
49714,0.000427637,0.000273291,Border Cave
49713,0.000427747,0.000273354,Border Cave
49712,0.000427857,0.000273417,Border Cave
49711,0.000427967,0.00027348,Border Cave
49710,0.000428077,0.000273543,Border Cave
49709,0.000428187,0.000273606,Border Cave
49708,0.000428297,0.000273669,Border Cave
49707,0.000428407,0.000273732,Border Cave
49706,0.000428517,0.000273795,Border Cave
49705,0.000428627,0.000273858,Border Cave
49704,0.000428737,0.000273921,Border Cave
49703,0.000428847,0.000273984,Border Cave
49702,0.000428957,0.000274046,Border Cave
49701,0.000429068,0.000274109,Border Cave
49700,0.000429178,0.000274172,Border Cave
49699,0.000429288,0.000274235,Border Cave
49698,0.000429398,0.000274298,Border Cave
49697,0.000429508,0.000274361,Border Cave
49696,0.000429618,0.000274424,Border Cave
49695,0.000429728,0.000274487,Border Cave
49694,0.000429838,0.00027455,Border Cave
49693,0.000429948,0.000274613,Border Cave
49692,0.000430058,0.000274676,Border Cave
49691,0.000430168,0.000274738,Border Cave
49690,0.000430278,0.000274801,Border Cave
49689,0.000430388,0.000274864,Border Cave
49688,0.000430498,0.000274927,Border Cave
49687,0.000430608,0.00027499,Border Cave
49686,0.000430718,0.000275053,Border Cave
49685,0.000430828,0.000275116,Border Cave
49684,0.000430938,0.000275179,Border Cave
49683,0.000431048,0.000275241,Border Cave
49682,0.000431158,0.000275304,Border Cave
49681,0.000431268,0.000275367,Border Cave
49680,0.000431378,0.00027543,Border Cave
49679,0.000431475,0.000275485,Border Cave
49678,0.000431573,0.00027554,Border Cave
49677,0.000431671,0.000275595,Border Cave
49676,0.000431768,0.00027565,Border Cave
49675,0.000431866,0.000275705,Border Cave
49674,0.000431964,0.00027576,Border Cave
49673,0.000432061,0.000275815,Border Cave
49672,0.000432159,0.00027587,Border Cave
49671,0.000432257,0.000275925,Border Cave
49670,0.000432355,0.00027598,Border Cave
49669,0.000432452,0.000276035,Border Cave
49668,0.00043255,0.000276089,Border Cave
49667,0.000432648,0.000276144,Border Cave
49666,0.000432745,0.000276199,Border Cave
49665,0.000432843,0.000276254,Border Cave
49664,0.000432941,0.000276309,Border Cave
49663,0.000433038,0.000276364,Border Cave
49662,0.000433136,0.000276419,Border Cave
49661,0.000433234,0.000276474,Border Cave
49660,0.000433331,0.000276529,Border Cave
49659,0.000433429,0.000276584,Border Cave
49658,0.000433526,0.000276639,Border Cave
49657,0.000433624,0.000276693,Border Cave
49656,0.000433722,0.000276748,Border Cave
49655,0.000433819,0.000276803,Border Cave
49654,0.000433917,0.000276858,Border Cave
49653,0.000434015,0.000276913,Border Cave
49652,0.000434112,0.000276968,Border Cave
49651,0.00043421,0.000277023,Border Cave
49650,0.000434308,0.000277077,Border Cave
49649,0.000434405,0.000277132,Border Cave
49648,0.000434503,0.000277187,Border Cave
49647,0.0004346,0.000277242,Border Cave
49646,0.000434698,0.000277297,Border Cave
49645,0.000434796,0.000277352,Border Cave
49644,0.000434893,0.000277406,Border Cave
49643,0.000434991,0.000277461,Border Cave
49642,0.000435088,0.000277516,Border Cave
49641,0.000435186,0.000277571,Border Cave
49640,0.000435284,0.000277626,Border Cave
49639,0.000435369,0.000277672,Border Cave
49638,0.000435454,0.000277719,Border Cave
49637,0.00043554,0.000277766,Border Cave
49636,0.000435625,0.000277813,Border Cave
49635,0.00043571,0.00027786,Border Cave
49634,0.000435796,0.000277907,Border Cave
49633,0.000435881,0.000277954,Border Cave
49632,0.000435966,0.000278001,Border Cave
49631,0.000436051,0.000278048,Border Cave
49630,0.000436137,0.000278095,Border Cave
49629,0.000436222,0.000278142,Border Cave
49628,0.000436307,0.000278189,Border Cave
49627,0.000436393,0.000278236,Border Cave
49626,0.000436478,0.000278283,Border Cave
49625,0.000436563,0.000278329,Border Cave
49624,0.000436649,0.000278376,Border Cave
49623,0.000436734,0.000278423,Border Cave
49622,0.000436819,0.00027847,Border Cave
49621,0.000436904,0.000278517,Border Cave
49620,0.00043699,0.000278564,Border Cave
49619,0.000437075,0.000278611,Border Cave
49618,0.00043716,0.000278658,Border Cave
49617,0.000437245,0.000278704,Border Cave
49616,0.00043733,0.000278751,Border Cave
49615,0.000437416,0.000278798,Border Cave
49614,0.000437501,0.000278845,Border Cave
49613,0.000437586,0.000278892,Border Cave
49612,0.000437671,0.000278938,Border Cave
49611,0.000437756,0.000278985,Border Cave
49610,0.000437842,0.000279032,Border Cave
49609,0.000437927,0.000279079,Border Cave
49608,0.000438012,0.000279125,Border Cave
49607,0.000438097,0.000279172,Border Cave
49606,0.000438182,0.000279219,Border Cave
49605,0.000438267,0.000279266,Border Cave
49604,0.000438352,0.000279312,Border Cave
49603,0.000438438,0.000279359,Border Cave
49602,0.000438523,0.000279406,Border Cave
49601,0.000438608,0.000279453,Border Cave
49600,0.000438693,0.000279499,Border Cave
49599,0.000438766,0.000279538,Border Cave
49598,0.000438839,0.000279577,Border Cave
49597,0.000438912,0.000279616,Border Cave
49596,0.000438985,0.000279655,Border Cave
49595,0.000439058,0.000279694,Border Cave
49594,0.00043913,0.000279733,Border Cave
49593,0.000439203,0.000279772,Border Cave
49592,0.000439276,0.000279811,Border Cave
49591,0.000439349,0.00027985,Border Cave
49590,0.000439422,0.000279889,Border Cave
49589,0.000439495,0.000279928,Border Cave
49588,0.000439568,0.000279966,Border Cave
49587,0.000439641,0.000280005,Border Cave
49586,0.000439714,0.000280044,Border Cave
49585,0.000439786,0.000280083,Border Cave
49584,0.000439859,0.000280122,Border Cave
49583,0.000439932,0.000280161,Border Cave
49582,0.000440005,0.0002802,Border Cave
49581,0.000440078,0.000280239,Border Cave
49580,0.000440151,0.000280277,Border Cave
49579,0.000440223,0.000280316,Border Cave
49578,0.000440296,0.000280355,Border Cave
49577,0.000440369,0.000280394,Border Cave
49576,0.000440442,0.000280433,Border Cave
49575,0.000440515,0.000280471,Border Cave
49574,0.000440587,0.00028051,Border Cave
49573,0.00044066,0.000280549,Border Cave
49572,0.000440733,0.000280588,Border Cave
49571,0.000440806,0.000280626,Border Cave
49570,0.000440878,0.000280665,Border Cave
49569,0.000440951,0.000280704,Border Cave
49568,0.000441024,0.000280743,Border Cave
49567,0.000441096,0.000280781,Border Cave
49566,0.000441169,0.00028082,Border Cave
49565,0.000441242,0.000280859,Border Cave
49564,0.000441315,0.000280898,Border Cave
49563,0.000441387,0.000280936,Border Cave
49562,0.00044146,0.000280975,Border Cave
49561,0.000441533,0.000281014,Border Cave
49560,0.000441605,0.000281052,Border Cave
