calBP,PrDens,PrDens_Taphonomic,Site
49931,0.000389634,0.000250455,Border Cave C14
49930,0.000389795,0.000250552,Border Cave C14
49929,0.000389956,0.000250648,Border Cave C14
49928,0.000390117,0.000250745,Border Cave C14
49927,0.000390278,0.000250842,Border Cave C14
49926,0.000390439,0.000250939,Border Cave C14
49925,0.0003906,0.000251036,Border Cave C14
49924,0.000390761,0.000251132,Border Cave C14
49923,0.000390922,0.000251229,Border Cave C14
49922,0.000391083,0.000251326,Border Cave C14
49921,0.000391244,0.000251423,Border Cave C14
49920,0.000391405,0.000251519,Border Cave C14
49919,0.000391561,0.000251613,Border Cave C14
49918,0.000391716,0.000251706,Border Cave C14
49917,0.000391871,0.000251799,Border Cave C14
49916,0.000392026,0.000251892,Border Cave C14
49915,0.000392182,0.000251985,Border Cave C14
49914,0.000392337,0.000252078,Border Cave C14
49913,0.000392492,0.000252171,Border Cave C14
49912,0.000392647,0.000252264,Border Cave C14
49911,0.000392803,0.000252357,Border Cave C14
49910,0.000392958,0.00025245,Border Cave C14
49909,0.000393113,0.000252543,Border Cave C14
49908,0.000393268,0.000252636,Border Cave C14
49907,0.000393424,0.000252729,Border Cave C14
49906,0.000393579,0.000252822,Border Cave C14
49905,0.000393734,0.000252915,Border Cave C14
49904,0.000393889,0.000253008,Border Cave C14
49903,0.000394045,0.000253101,Border Cave C14
49902,0.0003942,0.000253194,Border Cave C14
49901,0.000394355,0.000253287,Border Cave C14
49900,0.00039451,0.000253379,Border Cave C14
49899,0.000394666,0.000253472,Border Cave C14
49898,0.000394821,0.000253565,Border Cave C14
49897,0.000394976,0.000253658,Border Cave C14
49896,0.000395131,0.000253751,Border Cave C14
49895,0.000395287,0.000253844,Border Cave C14
49894,0.000395442,0.000253937,Border Cave C14
49893,0.000395597,0.00025403,Border Cave C14
49892,0.000395752,0.000254123,Border Cave C14
49891,0.000395907,0.000254215,Border Cave C14
49890,0.000396062,0.000254308,Border Cave C14
49889,0.000396218,0.000254401,Border Cave C14
49888,0.000396373,0.000254494,Border Cave C14
49887,0.000396528,0.000254587,Border Cave C14
49886,0.000396683,0.00025468,Border Cave C14
49885,0.000396838,0.000254772,Border Cave C14
49884,0.000396993,0.000254865,Border Cave C14
49883,0.000397149,0.000254958,Border Cave C14
49882,0.000397304,0.000255051,Border Cave C14
49881,0.000397459,0.000255143,Border Cave C14
49880,0.000397614,0.000255236,Border Cave C14
49879,0.000397769,0.000255329,Border Cave C14
49878,0.000397924,0.000255422,Border Cave C14
49877,0.000398079,0.000255515,Border Cave C14
49876,0.000398235,0.000255607,Border Cave C14
49875,0.00039839,0.0002557,Border Cave C14
49874,0.000398545,0.000255793,Border Cave C14
49873,0.0003987,0.000255885,Border Cave C14
49872,0.000398855,0.000255978,Border Cave C14
49871,0.00039901,0.000256071,Border Cave C14
49870,0.000399165,0.000256164,Border Cave C14
49869,0.00039932,0.000256256,Border Cave C14
49868,0.000399476,0.000256349,Border Cave C14
49867,0.000399631,0.000256442,Border Cave C14
49866,0.000399786,0.000256534,Border Cave C14
49865,0.000399941,0.000256627,Border Cave C14
49864,0.000400096,0.000256719,Border Cave C14
49863,0.000400251,0.000256812,Border Cave C14
49862,0.000400406,0.000256905,Border Cave C14
49861,0.000400561,0.000256997,Border Cave C14
49860,0.000400716,0.00025709,Border Cave C14
49859,0.000400865,0.000257179,Border Cave C14
49858,0.000401015,0.000257268,Border Cave C14
49857,0.000401164,0.000257357,Border Cave C14
49856,0.000401313,0.000257446,Border Cave C14
49855,0.000401463,0.000257535,Border Cave C14
49854,0.000401612,0.000257623,Border Cave C14
49853,0.000401761,0.000257712,Border Cave C14
49852,0.000401911,0.000257801,Border Cave C14
49851,0.00040206,0.00025789,Border Cave C14
49850,0.000402209,0.000257979,Border Cave C14
49849,0.000402359,0.000258068,Border Cave C14
49848,0.000402508,0.000258157,Border Cave C14
49847,0.000402657,0.000258245,Border Cave C14
49846,0.000402806,0.000258334,Border Cave C14
49845,0.000402956,0.000258423,Border Cave C14
49844,0.000403105,0.000258512,Border Cave C14
49843,0.000403254,0.000258601,Border Cave C14
49842,0.000403404,0.00025869,Border Cave C14
49841,0.000403553,0.000258778,Border Cave C14
49840,0.000403702,0.000258867,Border Cave C14
49839,0.000403846,0.000258952,Border Cave C14
49838,0.000403989,0.000259037,Border Cave C14
49837,0.000410822,0.000263412,Border Cave C14
49836,0.000410975,0.000263502,Border Cave C14
49835,0.000411127,0.000263593,Border Cave C14
49834,0.00041128,0.000263684,Border Cave C14
49833,0.000411432,0.000263775,Border Cave C14
49832,0.000411585,0.000263865,Border Cave C14
49831,0.000411738,0.000263956,Border Cave C14
49830,0.00041189,0.000264047,Border Cave C14
49829,0.000412043,0.000264138,Border Cave C14
49828,0.000412195,0.000264228,Border Cave C14
49827,0.000412348,0.000264319,Border Cave C14
49826,0.0004125,0.00026441,Border Cave C14
49825,0.000412653,0.000264501,Border Cave C14
49824,0.000412805,0.000264591,Border Cave C14
49823,0.000412958,0.000264682,Border Cave C14
49822,0.000413111,0.000264773,Border Cave C14
49821,0.000413263,0.000264863,Border Cave C14
49820,0.000413416,0.000264954,Border Cave C14
49819,0.000413562,0.000265041,Border Cave C14
49818,0.000413709,0.000265128,Border Cave C14
49817,0.000413855,0.000265214,Border Cave C14
49816,0.000414002,0.000265301,Border Cave C14
49815,0.000414148,0.000265388,Border Cave C14
49814,0.000414294,0.000265475,Border Cave C14
49813,0.000414441,0.000265561,Border Cave C14
49812,0.000414587,0.000265648,Border Cave C14
49811,0.000414734,0.000265735,Border Cave C14
49810,0.00041488,0.000265821,Border Cave C14
49809,0.000415027,0.000265908,Border Cave C14
49808,0.000415173,0.000265995,Border Cave C14
49807,0.00041532,0.000266082,Border Cave C14
49806,0.000415466,0.000266168,Border Cave C14
49805,0.000415613,0.000266255,Border Cave C14
49804,0.000415759,0.000266342,Border Cave C14
49803,0.000415906,0.000266429,Border Cave C14
49802,0.000416052,0.000266515,Border Cave C14
49801,0.000416199,0.000266602,Border Cave C14
49800,0.000416345,0.000266689,Border Cave C14
49799,0.000416492,0.000266775,Border Cave C14
49798,0.000416638,0.000266862,Border Cave C14
49797,0.000416785,0.000266949,Border Cave C14
49796,0.000416931,0.000267035,Border Cave C14
49795,0.000417078,0.000267122,Border Cave C14
49794,0.000417224,0.000267209,Border Cave C14
49793,0.000417371,0.000267296,Border Cave C14
49792,0.000417518,0.000267382,Border Cave C14
49791,0.000417664,0.000267469,Border Cave C14
49790,0.000417811,0.000267556,Border Cave C14
49789,0.000417957,0.000267642,Border Cave C14
49788,0.000418104,0.000267729,Border Cave C14
49787,0.00041825,0.000267816,Border Cave C14
49786,0.000418397,0.000267902,Border Cave C14
49785,0.000418544,0.000267989,Border Cave C14
49784,0.00041869,0.000268076,Border Cave C14
49783,0.000418837,0.000268162,Border Cave C14
49782,0.000418983,0.000268249,Border Cave C14
49781,0.00041913,0.000268336,Border Cave C14
49780,0.000419277,0.000268422,Border Cave C14
49779,0.000419411,0.000268501,Border Cave C14
49778,0.000419545,0.00026858,Border Cave C14
49777,0.00041968,0.000268659,Border Cave C14
49776,0.000419814,0.000268738,Border Cave C14
49775,0.000419949,0.000268817,Border Cave C14
49774,0.000420083,0.000268895,Border Cave C14
49773,0.000420217,0.000268974,Border Cave C14
49772,0.000420352,0.000269053,Border Cave C14
49771,0.000420486,0.000269132,Border Cave C14
49770,0.000420621,0.000269211,Border Cave C14
49769,0.000420755,0.00026929,Border Cave C14
49768,0.00042089,0.000269368,Border Cave C14
49767,0.000421024,0.000269447,Border Cave C14
49766,0.000421158,0.000269526,Border Cave C14
49765,0.000421293,0.000269605,Border Cave C14
49764,0.000421427,0.000269684,Border Cave C14
49763,0.000421562,0.000269762,Border Cave C14
49762,0.000421696,0.000269841,Border Cave C14
49761,0.000421831,0.00026992,Border Cave C14
49760,0.000421965,0.000269999,Border Cave C14
49759,0.000422093,0.000270074,Border Cave C14
49758,0.000422222,0.000270149,Border Cave C14
49757,0.00042235,0.000270223,Border Cave C14
49756,0.000422478,0.000270298,Border Cave C14
49755,0.000422607,0.000270373,Border Cave C14
49754,0.000422735,0.000270448,Border Cave C14
49753,0.000422863,0.000270523,Border Cave C14
49752,0.000422992,0.000270598,Border Cave C14
49751,0.00042312,0.000270673,Border Cave C14
49750,0.000423248,0.000270747,Border Cave C14
49749,0.000423377,0.000270822,Border Cave C14
49748,0.000423505,0.000270897,Border Cave C14
49747,0.000423633,0.000270972,Border Cave C14
49746,0.000423762,0.000271047,Border Cave C14
49745,0.00042389,0.000271122,Border Cave C14
49744,0.000424018,0.000271196,Border Cave C14
49743,0.000424147,0.000271271,Border Cave C14
49742,0.000424275,0.000271346,Border Cave C14
49741,0.000424403,0.000271421,Border Cave C14
49740,0.000424532,0.000271496,Border Cave C14
49739,0.000424654,0.000271567,Border Cave C14
49738,0.000424776,0.000271637,Border Cave C14
49737,0.000424899,0.000271708,Border Cave C14
49736,0.000425021,0.000271779,Border Cave C14
49735,0.000425143,0.00027185,Border Cave C14
49734,0.000425265,0.000271921,Border Cave C14
49733,0.000425388,0.000271992,Border Cave C14
49732,0.00042551,0.000272063,Border Cave C14
49731,0.000425632,0.000272134,Border Cave C14
49730,0.000425754,0.000272204,Border Cave C14
49729,0.000425877,0.000272275,Border Cave C14
49728,0.000425999,0.000272346,Border Cave C14
49727,0.000426121,0.000272417,Border Cave C14
49726,0.000426243,0.000272488,Border Cave C14
49725,0.000426366,0.000272559,Border Cave C14
49724,0.000426488,0.00027263,Border Cave C14
49723,0.00042661,0.0002727,Border Cave C14
49722,0.000426732,0.000272771,Border Cave C14
49721,0.000426855,0.000272842,Border Cave C14
49720,0.000426977,0.000272913,Border Cave C14
49719,0.000427087,0.000272976,Border Cave C14
49718,0.000427197,0.000273039,Border Cave C14
49717,0.000427307,0.000273102,Border Cave C14
49716,0.000427417,0.000273165,Border Cave C14
49715,0.000427527,0.000273228,Border Cave C14
49714,0.000427637,0.000273291,Border Cave C14
49713,0.000427747,0.000273354,Border Cave C14
49712,0.000427857,0.000273417,Border Cave C14
49711,0.000427967,0.00027348,Border Cave C14
49710,0.000428077,0.000273543,Border Cave C14
49709,0.000428187,0.000273606,Border Cave C14
49708,0.000428297,0.000273669,Border Cave C14
49707,0.000428407,0.000273732,Border Cave C14
49706,0.000428517,0.000273795,Border Cave C14
49705,0.000428627,0.000273858,Border Cave C14
49704,0.000428737,0.000273921,Border Cave C14
49703,0.000428847,0.000273984,Border Cave C14
49702,0.000428957,0.000274046,Border Cave C14
49701,0.000429068,0.000274109,Border Cave C14
49700,0.000429178,0.000274172,Border Cave C14
49699,0.000429288,0.000274235,Border Cave C14
49698,0.000429398,0.000274298,Border Cave C14
49697,0.000429508,0.000274361,Border Cave C14
49696,0.000429618,0.000274424,Border Cave C14
49695,0.000429728,0.000274487,Border Cave C14
49694,0.000429838,0.00027455,Border Cave C14
49693,0.000429948,0.000274613,Border Cave C14
49692,0.000430058,0.000274676,Border Cave C14
49691,0.000430168,0.000274738,Border Cave C14
49690,0.000430278,0.000274801,Border Cave C14
49689,0.000430388,0.000274864,Border Cave C14
49688,0.000430498,0.000274927,Border Cave C14
49687,0.000430608,0.00027499,Border Cave C14
49686,0.000430718,0.000275053,Border Cave C14
49685,0.000430828,0.000275116,Border Cave C14
49684,0.000430938,0.000275179,Border Cave C14
49683,0.000431048,0.000275241,Border Cave C14
49682,0.000431158,0.000275304,Border Cave C14
49681,0.000431268,0.000275367,Border Cave C14
49680,0.000431378,0.00027543,Border Cave C14
49679,0.000431475,0.000275485,Border Cave C14
49678,0.000431573,0.00027554,Border Cave C14
49677,0.000431671,0.000275595,Border Cave C14
49676,0.000431768,0.00027565,Border Cave C14
49675,0.000431866,0.000275705,Border Cave C14
49674,0.000431964,0.00027576,Border Cave C14
49673,0.000432061,0.000275815,Border Cave C14
49672,0.000432159,0.00027587,Border Cave C14
49671,0.000432257,0.000275925,Border Cave C14
49670,0.000432355,0.00027598,Border Cave C14
49669,0.000432452,0.000276035,Border Cave C14
49668,0.00043255,0.000276089,Border Cave C14
49667,0.000432648,0.000276144,Border Cave C14
49666,0.000432745,0.000276199,Border Cave C14
49665,0.000432843,0.000276254,Border Cave C14
49664,0.000432941,0.000276309,Border Cave C14
49663,0.000433038,0.000276364,Border Cave C14
49662,0.000433136,0.000276419,Border Cave C14
49661,0.000433234,0.000276474,Border Cave C14
49660,0.000433331,0.000276529,Border Cave C14
49659,0.000433429,0.000276584,Border Cave C14
49658,0.000433526,0.000276639,Border Cave C14
49657,0.000433624,0.000276693,Border Cave C14
49656,0.000433722,0.000276748,Border Cave C14
49655,0.000433819,0.000276803,Border Cave C14
49654,0.000433917,0.000276858,Border Cave C14
49653,0.000434015,0.000276913,Border Cave C14
49652,0.000434112,0.000276968,Border Cave C14
49651,0.00043421,0.000277023,Border Cave C14
49650,0.000434308,0.000277077,Border Cave C14
49649,0.000434405,0.000277132,Border Cave C14
49648,0.000434503,0.000277187,Border Cave C14
49647,0.0004346,0.000277242,Border Cave C14
49646,0.000434698,0.000277297,Border Cave C14
49645,0.000434796,0.000277352,Border Cave C14
49644,0.000434893,0.000277406,Border Cave C14
49643,0.000434991,0.000277461,Border Cave C14
49642,0.000435088,0.000277516,Border Cave C14
49641,0.000435186,0.000277571,Border Cave C14
49640,0.000435284,0.000277626,Border Cave C14
49639,0.000435369,0.000277672,Border Cave C14
49638,0.000435454,0.000277719,Border Cave C14
49637,0.00043554,0.000277766,Border Cave C14
49636,0.000435625,0.000277813,Border Cave C14
49635,0.00043571,0.00027786,Border Cave C14
49634,0.000435796,0.000277907,Border Cave C14
49633,0.000435881,0.000277954,Border Cave C14
49632,0.000435966,0.000278001,Border Cave C14
49631,0.000436051,0.000278048,Border Cave C14
49630,0.000436137,0.000278095,Border Cave C14
49629,0.000436222,0.000278142,Border Cave C14
49628,0.000436307,0.000278189,Border Cave C14
49627,0.000436393,0.000278236,Border Cave C14
49626,0.000436478,0.000278283,Border Cave C14
49625,0.000436563,0.000278329,Border Cave C14
49624,0.000436649,0.000278376,Border Cave C14
49623,0.000436734,0.000278423,Border Cave C14
49622,0.000436819,0.00027847,Border Cave C14
49621,0.000436904,0.000278517,Border Cave C14
49620,0.00043699,0.000278564,Border Cave C14
49619,0.000437075,0.000278611,Border Cave C14
49618,0.00043716,0.000278658,Border Cave C14
49617,0.000437245,0.000278704,Border Cave C14
49616,0.00043733,0.000278751,Border Cave C14
49615,0.000437416,0.000278798,Border Cave C14
49614,0.000437501,0.000278845,Border Cave C14
49613,0.000437586,0.000278892,Border Cave C14
49612,0.000437671,0.000278938,Border Cave C14
49611,0.000437756,0.000278985,Border Cave C14
49610,0.000437842,0.000279032,Border Cave C14
49609,0.000437927,0.000279079,Border Cave C14
49608,0.000438012,0.000279125,Border Cave C14
49607,0.000438097,0.000279172,Border Cave C14
49606,0.000438182,0.000279219,Border Cave C14
49605,0.000438267,0.000279266,Border Cave C14
49604,0.000438352,0.000279312,Border Cave C14
49603,0.000438438,0.000279359,Border Cave C14
49602,0.000438523,0.000279406,Border Cave C14
49601,0.000438608,0.000279453,Border Cave C14
49600,0.000438693,0.000279499,Border Cave C14
49599,0.000438766,0.000279538,Border Cave C14
49598,0.000438839,0.000279577,Border Cave C14
49597,0.000438912,0.000279616,Border Cave C14
49596,0.000438985,0.000279655,Border Cave C14
49595,0.000439058,0.000279694,Border Cave C14
49594,0.00043913,0.000279733,Border Cave C14
49593,0.000439203,0.000279772,Border Cave C14
49592,0.000439276,0.000279811,Border Cave C14
49591,0.000439349,0.00027985,Border Cave C14
49590,0.000439422,0.000279889,Border Cave C14
49589,0.000439495,0.000279928,Border Cave C14
49588,0.000439568,0.000279966,Border Cave C14
49587,0.000439641,0.000280005,Border Cave C14
49586,0.000439714,0.000280044,Border Cave C14
49585,0.000439786,0.000280083,Border Cave C14
49584,0.000439859,0.000280122,Border Cave C14
49583,0.000439932,0.000280161,Border Cave C14
49582,0.000440005,0.0002802,Border Cave C14
49581,0.000440078,0.000280239,Border Cave C14
49580,0.000440151,0.000280277,Border Cave C14
49579,0.000440223,0.000280316,Border Cave C14
49578,0.000440296,0.000280355,Border Cave C14
49577,0.000440369,0.000280394,Border Cave C14
49576,0.000440442,0.000280433,Border Cave C14
49575,0.000440515,0.000280471,Border Cave C14
49574,0.000440587,0.00028051,Border Cave C14
49573,0.00044066,0.000280549,Border Cave C14
49572,0.000440733,0.000280588,Border Cave C14
49571,0.000440806,0.000280626,Border Cave C14
49570,0.000440878,0.000280665,Border Cave C14
49569,0.000440951,0.000280704,Border Cave C14
49568,0.000441024,0.000280743,Border Cave C14
49567,0.000441096,0.000280781,Border Cave C14
49566,0.000441169,0.00028082,Border Cave C14
49565,0.000441242,0.000280859,Border Cave C14
49564,0.000441315,0.000280898,Border Cave C14
49563,0.000441387,0.000280936,Border Cave C14
49562,0.00044146,0.000280975,Border Cave C14
49561,0.000441533,0.000281014,Border Cave C14
49560,0.000441605,0.000281052,Border Cave C14
49559,0.000441666,0.000281083,Border Cave C14
49558,0.000441727,0.000281114,Border Cave C14
49557,0.000441787,0.000281145,Border Cave C14
49556,0.000441848,0.000281176,Border Cave C14
49555,0.000441908,0.000281207,Border Cave C14
49554,0.000441969,0.000281238,Border Cave C14
49553,0.000442029,0.000281269,Border Cave C14
49552,0.00044209,0.0002813,Border Cave C14
49551,0.000442151,0.000281331,Border Cave C14
49550,0.000442211,0.000281362,Border Cave C14
49549,0.000442272,0.000281393,Border Cave C14
49548,0.000442332,0.000281424,Border Cave C14
49547,0.000442393,0.000281455,Border Cave C14
49546,0.000442453,0.000281486,Border Cave C14
49545,0.000442514,0.000281517,Border Cave C14
49544,0.000442574,0.000281548,Border Cave C14
49543,0.000442635,0.000281579,Border Cave C14
49542,0.000442695,0.00028161,Border Cave C14
49541,0.000442756,0.000281641,Border Cave C14
49540,0.000442816,0.000281672,Border Cave C14
49539,0.000442865,0.000281695,Border Cave C14
49538,0.000442913,0.000281718,Border Cave C14
49537,0.000442961,0.000281741,Border Cave C14
49536,0.00044301,0.000281764,Border Cave C14
49535,0.000443058,0.000281787,Border Cave C14
49534,0.000443106,0.00028181,Border Cave C14
49533,0.000443155,0.000281834,Border Cave C14
49532,0.000443203,0.000281857,Border Cave C14
49531,0.000443251,0.00028188,Border Cave C14
49530,0.0004433,0.000281903,Border Cave C14
49529,0.000443348,0.000281926,Border Cave C14
49528,0.000443396,0.000281949,Border Cave C14
49527,0.000443445,0.000281972,Border Cave C14
49526,0.000443493,0.000281996,Border Cave C14
49525,0.000443541,0.000282019,Border Cave C14
49524,0.00044359,0.000282042,Border Cave C14
49523,0.000443638,0.000282065,Border Cave C14
49522,0.000443686,0.000282088,Border Cave C14
49521,0.000443735,0.000282111,Border Cave C14
49520,0.000443783,0.000282134,Border Cave C14
