Site,longitude,latitude,time_bp,bio01,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,npp,bio01_diff,time_elapsed,bio01_RoC_per_century,bio04_diff,bio04_RoC_per_century,bio05_diff,bio05_RoC_per_century,bio06_diff,bio06_RoC_per_century,bio07_diff,bio07_RoC_per_century,bio08_diff,bio08_RoC_per_century,bio09_diff,bio09_RoC_per_century,bio10_diff,bio10_RoC_per_century,bio11_diff,bio11_RoC_per_century,bio12_diff,bio12_RoC_per_century,bio13_diff,bio13_RoC_per_century,bio14_diff,bio14_RoC_per_century,bio15_diff,bio15_RoC_per_century,bio16_diff,bio16_RoC_per_century,bio17_diff,bio17_RoC_per_century,bio18_diff,bio18_RoC_per_century,bio19_diff,bio19_RoC_per_century,npp_diff,npp_RoC_per_century
Border Cave,31.989,-27.021,-30000,17.8477993,287.8129272,28.26890945,5.14171505,23.12719345,18.38027954,14.1961832,21.12281227,14.16842556,759.5316162,108.2330399,20.67064857,47.99837112,304.5426941,87.71075439,199.4454651,89.83493805,633,-0.079685211,2000,-0.003984261,21.70663452,1.085331726,0.36255455017089844,0.018127728,-0.323421955,-0.016171098,0.6859760284422975,0.034298801,-0.174968719,-0.008748436,-0.351764679,-0.017588234,0.303657532,0.015182877,-0.186024666,-0.009301233,58.851196289062955,2.9425598144531477,0.6440353393549998,0.032201767,4.815290451049801,0.2407645225524901,-6.209259033,-0.310462952,20.24679565429699,1.0123397827148495,10.587371826171903,0.5293685913085951,38.019790649414006,1.9009895324707002,6.001548767089801,0.3000774383544901,49,2.45
Border Cave,31.989,-27.021,-28000,17.45122337,298.0760193,28.01914024,4.767035007,23.25210571,18.0299778,13.59887695,20.89272881,13.59887695,652.3581543,116.1271515,10.23858356,59.98166656,295.8633423,58.90250778,184.1932526,58.90250778,620,-0.396575928,2000,-0.019828796,10.26309204,0.513154602,-0.249769211,-0.012488461,-0.374680042,-0.018734002,0.12491226196290128,0.006245613,-0.350301743,-0.017515087,-0.597306252,-0.029865313,-0.230083466,-0.011504173,-0.569548607,-0.02847743,-107.1734619,-5.358673096,7.894111633300994,0.3947055816650497,-10.43206501,-0.521603251,11.98329544,0.599164772,-8.679351807,-0.43396759,-28.80824661,-1.440412331,-15.25221252,-0.762610626,-30.93243027,-1.546621513,-13,-0.65
Border Cave,31.989,-27.021,-26000,16.91221809,330.0924072,27.65727806,3.648416758,24.00886154,17.35546684,12.57602978,20.53764915,12.57602978,662.7888184,107.622261,17.6857338,60.89432144,301.3150024,76.71479797,157.0089722,76.71479797,598,-0.53900528,2000,-0.026950264,32.016387939454034,1.6008193969727018,-0.361862183,-0.018093109,-1.11861825,-0.055930912,0.756755829,0.037837791,-0.674510956,-0.033725548,-1.022847176,-0.051142359,-0.355079651,-0.017753983,-1.022847176,-0.051142359,10.43066406,0.521533203,-8.504890442,-0.425244522,7.447150230407701,0.37235751152038504,0.9126548767089986,0.045632743835449935,5.451660156,0.272583008,17.812290191650398,0.89061451,-27.1842804,-1.35921402,17.812290191650398,0.89061451,-22,-1.1
Border Cave,31.989,-27.021,-24000,17.03211403,341.6266785,28.03634453,3.869543552,24.16680145,17.20483589,12.54863262,20.88519096,12.54863262,593.0092773,82.45571899,21.4476757,49.41109848,216.1653137,66.6756897,184.525177,66.6756897,542,0.11989593505860086,2000,0.005994797,11.534271240233977,0.5767135620116989,0.3790664672850994,0.018953323,0.22112679481505992,0.011056339740752995,0.15793991088860082,0.007896996,-0.150630951,-0.007531548,-0.027397156,-0.001369858,0.3475418090819993,0.017377090454099964,-0.027397156,-0.001369858,-69.77954102,-3.488977051,-25.16654205,-1.258327103,3.7619419097900995,0.18809709548950498,-11.48322296,-0.574161148,-85.14968872,-4.257484436,-10.03910828,-0.501955414,27.516204833984006,1.3758102416992002,-10.03910828,-0.501955414,-56,-2.8
Border Cave,31.989,-27.021,-22000,17.0120945,352.5630188,28.34503937,3.997827768,24.34721184,18.55101585,13.12178326,21.10046387,12.53909683,610.0977783,103.1719131,2.742927313,69.99817657,267.5677795,21.24552917,181.2987366,38.23537064,498,-0.020019531,2000,-0.001000977,10.936340332031023,0.5468170166015511,0.30869483947759946,0.015434741973879973,0.12828421592713024,0.006414211,0.1804103851318999,0.009020519,1.3461799621581996,0.067308998,0.5731506347657014,0.028657532,0.21527290344240058,0.010763645172120029,-0.009535789,-0.000476789,17.088500976562955,0.8544250488281477,20.71619415,1.035809708,-18.70474839,-0.93523742,20.58707809,1.029353905,51.40246582031301,2.570123291015651,-45.43016052,-2.271508026,-3.22644043,-0.161322021,-28.44031906,-1.422015953,-44,-2.2
Border Cave,31.989,-27.021,-21000,17.14337349,336.1620483,28.24388695,4.251078129,23.9928093,16.84187889,13.42350006,20.9917469,12.77617645,547.7490845,86.7106781,0.851581514,65.70809937,231.2934265,26.07209015,157.7955627,52.97151947,456,0.131278992,1000,0.013127899169920097,-16.40097046,-1.640097046,-0.10115242,-0.010115242,0.2532503604888898,0.025325036048888982,-0.354402542,-0.035440254,-1.709136963,-0.170913696,0.30171680450439986,0.030171680450439983,-0.108716965,-0.010871696,0.2370796203612997,0.023707962,-62.34869385,-6.234869385,-16.46123505,-1.646123505,-1.891345799,-0.18913458,-4.290077209,-0.429007721,-36.27435303,-3.627435303,4.826560974121097,0.4826560974121098,-23.50317383,-2.350317383,14.736148834228501,1.4736148834228502,-42,-4.2
Border Cave,31.989,-27.021,-20000,16.91280746,361.4173889,28.25773621,3.603942871,24.65379333,20.99840736,12.90474701,20.99840736,12.08783817,604.3007813,108.5939331,15.08722019,65.05276489,269.4721985,65.15461731,269.4721985,73.69764709,508,-0.230566025,1000,-0.023056602,25.255340576172046,2.5255340576172047,0.013849258,0.001384926,-0.647135258,-0.064713526,0.660984039,0.066098404,4.156528472900401,0.41565284729004015,-0.518753052,-0.051875305,0.006660461,0.000666046,-0.68833828,-0.068833828,56.55169677734398,5.655169677734398,21.88325500488311,2.188325500488311,14.235638678073917,1.4235638678073916,-0.655334473,-0.065533447,38.17877197265602,3.8178771972656027,39.08252716,3.9082527160644505,111.67663574218702,11.167663574218702,20.726127624511804,2.0726127624511803,52,5.2
Border Cave,31.989,-27.021,-19000,17.01215553,346.1629944,28.12693596,3.84095335,24.28598213,20.99700928,13.14688206,20.99700928,12.39634705,616.260376,115.1843643,13.69591713,58.42665482,269.2245789,60.67398453,269.2245789,75.91330719,521,0.099348068,1000,0.009934807,-15.25439453,-1.525439453,-0.130800247,-0.013080025,0.237010479,0.023701048,-0.367811203,-0.03678112,-0.001398087,-0.000139809,0.2421350479126012,0.024213505,-0.001398087,-0.000139809,0.30850887298580076,0.030850887298580078,11.959594726562955,1.1959594726562954,6.5904312133789915,0.6590431213378991,-1.391303062,-0.139130306,-6.626110077,-0.662611008,-0.247619629,-0.024761963,-4.480632782,-0.448063278,-0.247619629,-0.024761963,2.215660095214801,0.22156600952148012,13,1.3
Border Cave,31.989,-27.021,-18000,17.05860901,335.7312622,27.90509033,3.8422544,24.06283569,20.83616638,12.59827805,20.83616638,12.59827805,557.5039673,88.66603851,12.3719511,62.80955505,236.1914368,49.83867264,236.1914368,49.83867264,477,0.046453476,1000,0.004645348,-10.43173218,-1.043173218,-0.221845627,-0.022184563,0.00130105,0.000130105,-0.223146439,-0.022314644,-0.160842896,-0.01608429,-0.548604012,-0.054860401,-0.160842896,-0.01608429,0.20193099975590023,0.020193099975590025,-58.75640869,-5.875640869,-26.51832581,-2.651832581,-1.323966026,-0.132396603,4.382900238037102,0.43829002380371024,-33.03314209,-3.303314209,-10.83531189,-1.083531189,-33.03314209,-3.303314209,-26.07463455,-2.607463455,-44,-4.4
Border Cave,31.989,-27.021,-17000,17.35192299,312.1590881,27.99427032,4.361690044,23.6325798,20.90862465,13.64773083,20.90862465,13.25912952,591.1338501,101.6911697,7.756367207,68.23647308,241.8123932,36.85059357,241.8123932,40.77178574,519,0.29331398,1000,0.029331398,-23.57217407,-2.357217407,0.089179993,0.008917999,0.5194356441497798,0.051943564,-0.43025589,-0.043025589,0.072458267,0.007245827,1.049452782,0.104945278,0.072458267,0.007245827,0.6608514785766992,0.066085148,33.62988281,3.362988281,13.025131225586406,1.3025131225586406,-4.615583897,-0.46155839,5.426918029785192,0.5426918029785192,5.6209564208989775,0.5620956420898978,-12.98807907,-1.298807907,5.6209564208989775,0.5620956420898978,-9.066886902,-0.90668869,42,4.2
