"calBP","PrDens"
54159,1.96891788251325e-05
54158,1.96847538298727e-05
54157,1.96803309931114e-05
54156,1.96759103160634e-05
54155,1.96714917999433e-05
54154,1.96670754459653e-05
54153,1.96626612553431e-05
54152,1.96582492292903e-05
54151,1.96538393690195e-05
54150,1.96494316757434e-05
54149,1.96450261506742e-05
54148,1.96406227950237e-05
54147,1.96362216100035e-05
54146,1.96318225968241e-05
54145,1.96274257566963e-05
54144,1.96230310908303e-05
54143,1.96186386004359e-05
54142,1.96142482867226e-05
54141,1.96098601508992e-05
54140,1.96054741941743e-05
54139,1.95975370125582e-05
54138,1.95896034573032e-05
54137,1.95816735301982e-05
54136,1.95737472330302e-05
54135,1.9565824567584e-05
54134,1.95579055356421e-05
54133,1.95499901389847e-05
54132,1.954207837939e-05
54131,1.95341702586341e-05
54130,1.95262657784904e-05
54129,1.95183649407306e-05
54128,1.9510467747124e-05
54127,1.95025741994378e-05
54126,1.94946842994367e-05
54125,1.94867980488835e-05
54124,1.94789154495387e-05
54123,1.94710365031605e-05
54122,1.94631612115052e-05
54121,1.94552895763264e-05
54120,1.94474215993759e-05
54119,1.94395572824031e-05
54118,1.94316966271552e-05
54117,1.94238396353773e-05
54116,1.94159863088122e-05
54115,1.94081366492005e-05
54114,1.94002906582805e-05
54113,1.93924483377885e-05
54112,1.93846096894583e-05
54111,1.93767747150218e-05
54110,1.93689434162085e-05
54109,1.93611157947456e-05
54108,1.93532918523582e-05
54107,1.93454715907693e-05
54106,1.93376550116995e-05
54105,1.93298421168671e-05
54104,1.93220329079885e-05
54103,1.93142273867776e-05
54102,1.93064255549463e-05
54101,1.92986274142039e-05
54100,1.9290832966258e-05
54099,1.92807978964736e-05
54098,1.92707681250278e-05
54097,1.9260743654376e-05
54096,1.92507244869697e-05
54095,1.92407106252551e-05
54094,1.9230702071674e-05
54093,1.92206988286636e-05
54092,1.92107008986556e-05
54091,1.9200708284078e-05
54090,1.91907209873531e-05
54089,1.9180739010899e-05
54088,1.91707623571291e-05
54087,1.91607910284515e-05
54086,1.91508250272704e-05
54085,1.91408643559843e-05
54084,1.91309090169875e-05
54083,1.91209590126698e-05
54082,1.91110143454156e-05
54081,1.9101075017605e-05
54080,1.9091141031613e-05
54079,1.90824762540823e-05
54078,1.9073816202603e-05
54077,1.90651608795187e-05
54076,1.905651028717e-05
54075,1.90478644278935e-05
54074,1.90392233040224e-05
54073,1.90305869178862e-05
54072,1.90219552718109e-05
54071,1.9013328368119e-05
54070,1.90047062091292e-05
54069,1.89960887971568e-05
54068,1.89874761345134e-05
54067,1.8978868223507e-05
54066,1.89702650664422e-05
54065,1.89616666656197e-05
54064,1.89530730233369e-05
54063,1.89444841418875e-05
54062,1.89359000235615e-05
54061,1.89273206706455e-05
54060,1.89187460854223e-05
54059,1.89076596878896e-05
54058,1.88965794369345e-05
54057,1.88855053348446e-05
54056,1.88744373839015e-05
54055,1.88633755863806e-05
54054,1.88523199445509e-05
54053,1.88412704606757e-05
54052,1.88302271370118e-05
54051,1.88191899758102e-05
54050,1.88081589793156e-05
54049,1.87971341497666e-05
54048,1.87861154893957e-05
54047,1.8775103000429e-05
54046,1.8764096685087e-05
54045,1.87530965455837e-05
54044,1.87421025841271e-05
54043,1.8731114802919e-05
54042,1.87201332041548e-05
54041,1.87091577900247e-05
54040,1.86981885627117e-05
54039,1.8688165543396e-05
54038,1.86781475810409e-05
54037,1.86681346771672e-05
54036,1.86581268332922e-05
54035,1.86481240509285e-05
54034,1.86381263315849e-05
54033,1.86281336767661e-05
54032,1.86181460879726e-05
54031,1.86081635667014e-05
54030,1.85981861144449e-05
54029,1.85882137326915e-05
54028,1.85782464229257e-05
54027,1.85682841866278e-05
54026,1.85583270252743e-05
54025,1.85483749403375e-05
54024,1.85384279332855e-05
54023,1.85284860055825e-05
54022,1.85185491586885e-05
54021,1.85086173940598e-05
54020,1.84986907131483e-05
54019,1.84865974837094e-05
54018,1.84745113699589e-05
54017,1.84624323739272e-05
54016,1.84503604976364e-05
54015,1.84382957431014e-05
54014,1.84262381123295e-05
54013,1.84141876073201e-05
54012,1.84021442300653e-05
54011,1.83901079825488e-05
54010,1.83780788667472e-05
54009,1.83660568846295e-05
54008,1.83540420381568e-05
54007,1.83420343292827e-05
