"calBP","PrDens"
54469,1.9811175385598e-05
54468,1.98172460087972e-05
54467,1.98233208544109e-05
54466,1.98293999255684e-05
54465,1.98354832254011e-05
54464,1.98415707570425e-05
54463,1.98476625236286e-05
54462,1.98537585282974e-05
54461,1.98598587741893e-05
54460,1.98659632644467e-05
54459,1.98695773830985e-05
54458,1.98731942682814e-05
54457,1.98768139219638e-05
54456,1.98804363461161e-05
54455,1.98840615427092e-05
54454,1.98876895137157e-05
54453,1.98913202611096e-05
54452,1.98949537868659e-05
54451,1.98985900929614e-05
54450,1.99022291813739e-05
54449,1.99058710540826e-05
54448,1.99095157130679e-05
54447,1.99131631603115e-05
54446,1.99168133977971e-05
54445,1.99204664275088e-05
54444,1.99241222514325e-05
54443,1.99277808715555e-05
54442,1.99314422898659e-05
54441,1.9935106508354e-05
54440,1.99387735290108e-05
54439,1.99424433538287e-05
54438,1.99461159848016e-05
54437,1.99497914239244e-05
54436,1.9953469673194e-05
54435,1.99571507346081e-05
54434,1.99608346101657e-05
54433,1.99645213018675e-05
54432,1.99682108117151e-05
54431,1.99719031417119e-05
54430,1.99755982938624e-05
54429,1.99792962701724e-05
54428,1.99829970726491e-05
54427,1.99867007033009e-05
54426,1.9990407164138e-05
54425,1.99941164571714e-05
54424,1.99978285844137e-05
54423,2.00015435478789e-05
54422,2.0005261349582e-05
54421,2.000898199154e-05
54420,2.00127054757706e-05
54419,2.00166332070021e-05
54418,2.00205645742291e-05
54417,2.00244995804511e-05
54416,2.00284382286705e-05
54415,2.00323805218915e-05
54414,2.0036326463121e-05
54413,2.00402760553682e-05
54412,2.00442293016442e-05
54411,2.0048186204963e-05
54410,2.00521467683403e-05
54409,2.00561109947946e-05
54408,2.00600788873466e-05
54407,2.00640504490189e-05
54406,2.00680256828373e-05
54405,2.00720045918289e-05
54404,2.00759871790238e-05
54403,2.00799734474545e-05
54402,2.00839634001552e-05
54401,2.00879570401631e-05
54400,2.0091954370517e-05
54399,2.00932121748142e-05
54398,2.00944718461624e-05
54397,2.00957333858518e-05
54396,2.00969967951724e-05
54395,2.00982620754159e-05
54394,2.00995292278743e-05
54393,2.01007982538399e-05
54392,2.01020691546067e-05
54391,2.01033419314684e-05
54390,2.01046165857204e-05
54389,2.01058931186581e-05
54388,2.01071715315777e-05
54387,2.01084518257768e-05
54386,2.01097340025527e-05
54385,2.01110180632046e-05
54384,2.01123040090315e-05
54383,2.01135918413333e-05
54382,2.01148815614112e-05
54381,2.01161731705663e-05
54380,2.01174666701013e-05
54379,2.01189781438604e-05
54378,2.01204921944801e-05
54377,2.01220088240326e-05
54376,2.01235280345905e-05
54375,2.01250498282287e-05
54374,2.01265742070228e-05
54373,2.01281011730502e-05
54372,2.01296307283896e-05
54371,2.01311628751206e-05
54370,2.01326976153249e-05
54369,2.0134234951085e-05
54368,2.01357748844851e-05
54367,2.01373174176109e-05
54366,2.01388625525487e-05
54365,2.01404102913871e-05
54364,2.01419606362156e-05
54363,2.01435135891251e-05
54362,2.01450691522083e-05
54361,2.01466273275584e-05
54360,2.01481881172709e-05
54359,2.0148476441762e-05
54358,2.01487669870889e-05
54357,2.01490597550089e-05
54356,2.01493547472793e-05
54355,2.01496519656593e-05
54354,2.01499514119084e-05
54353,2.01502530877873e-05
54352,2.0150556995058e-05
54351,2.01508631354828e-05
54350,2.01511715108258e-05
54349,2.01514821228517e-05
54348,2.01517949733258e-05
54347,2.01521100640152e-05
54346,2.01524273966873e-05
54345,2.01527469731111e-05
54344,2.0153068795056e-05
54343,2.01533928642926e-05
54342,2.01537191825929e-05
54341,2.01540477517292e-05
54340,2.01543785734754e-05
54339,2.01557597120467e-05
54338,2.01571428033077e-05
54337,2.01585278485965e-05
54336,2.01599148492515e-05
54335,2.01613038066127e-05
54334,2.01626947220199e-05
54333,2.01640875968141e-05
54332,2.01654824323374e-05
54331,2.01668792299317e-05
54330,2.0168277990941e-05
54329,2.01696787167088e-05
54328,2.01710814085798e-05
54327,2.01724860679e-05
54326,2.01738926960153e-05
54325,2.01753012942729e-05
54324,2.01767118640207e-05
54323,2.01781244066069e-05
54322,2.01795389233813e-05
54321,2.01809554156936e-05
54320,2.0182373884895e-05
54319,2.01814664230897e-05
54318,2.01805609718938e-05
54317,2.01796575328483e-05
54316,2.01787561074947e-05
54315,2.01778566973752e-05
54314,2.01769593040326e-05
54313,2.01760639290104e-05
54312,2.01751705738529e-05
54311,2.01742792401047e-05
54310,2.01733899293114e-05
54309,2.01725026430191e-05
54308,2.01716173827745e-05
54307,2.0170734150125e-05
54306,2.01698529466187e-05
54305,2.01689737738044e-05
54304,2.01680966332313e-05
54303,2.01672215264495e-05
54302,2.01663484550097e-05
54301,2.01654774204632e-05
54300,2.0164608424362e-05
54299,2.01660672749695e-05
54298,2.01675281328997e-05
54297,2.01689909995212e-05
54296,2.01704558762027e-05
54295,2.01719227643143e-05
54294,2.01733916652266e-05
54293,2.01748625803107e-05
54292,2.01763355109391e-05
54291,2.01778104584844e-05
54290,2.01792874243206e-05
54289,2.01807664098219e-05
54288,2.01822474163635e-05
54287,2.01837304453216e-05
54286,2.01852154980728e-05
54285,2.0186702575995e-05
54284,2.01881916804663e-05
54283,2.01896828128655e-05
54282,2.01911759745731e-05
54281,2.01926711669692e-05
54280,2.01941683914357e-05
54279,2.01897248815956e-05
54278,2.01852838717437e-05
54277,2.01808453637792e-05
54276,2.01764093596019e-05
54275,2.01719758611105e-05
54274,2.01675448702041e-05
54273,2.0163116388781e-05
54272,2.01586904187394e-05
54271,2.01542669619779e-05
54270,2.0149846020394e-05
54269,2.01454275958853e-05
54268,2.01410116903492e-05
54267,2.01365983056825e-05
54266,2.01321874437824e-05
54265,2.01277791065454e-05
54264,2.01233732958678e-05
54263,2.01189700136456e-05
54262,2.01145692617746e-05
54261,2.01101710421506e-05
54260,2.01057753566688e-05
54259,2.01037015017725e-05
54258,2.01016295929001e-05
54257,2.00995596314478e-05
54256,2.00974916188128e-05
54255,2.00954255563921e-05
54254,2.00933614455834e-05
54253,2.00912992877847e-05
54252,2.00892390843938e-05
54251,2.00871808368096e-05
54250,2.00851245464306e-05
54249,2.00830702146561e-05
54248,2.00810178428858e-05
54247,2.00789674325191e-05
54246,2.00769189849566e-05
54245,2.00748725015983e-05
54244,2.00728279838452e-05
54243,2.00707854330985e-05
54242,2.00687448507595e-05
54241,2.00667062382301e-05
54240,2.00646695969122e-05
54239,2.00626349282082e-05
54238,2.00606022335212e-05
54237,2.00585715142537e-05
54236,2.00565427718097e-05
