"calBP","PrDens"
54911,4.05089488484223e-05
54910,4.05173869504399e-05
54909,4.05258260586588e-05
54908,4.05342661728164e-05
54907,4.05427072926501e-05
54906,4.05511494178965e-05
54905,4.05595925482925e-05
54904,4.05680366835746e-05
54903,4.05764818234793e-05
54902,4.05849279677427e-05
54901,4.05933751161006e-05
54900,4.06018232682889e-05
54899,4.06102724240432e-05
54898,4.06187225830986e-05
54897,4.06271737451905e-05
54896,4.06356259100537e-05
54895,4.0644079077423e-05
54894,4.06525332470328e-05
54893,4.06609884186176e-05
54892,4.06694445919115e-05
54891,4.06779017666484e-05
54890,4.06863599425619e-05
54889,4.06948191193857e-05
54888,4.07032792968531e-05
54887,4.07117404746973e-05
54886,4.07202026526509e-05
54885,4.07286658304469e-05
54884,4.07371300078177e-05
54883,4.07455951844957e-05
54882,4.0754061360213e-05
54881,4.07625285347014e-05
54880,4.07709967076926e-05
54879,4.07794167687327e-05
54878,4.0787837893381e-05
54877,4.07962600813666e-05
54876,4.08046833324182e-05
54875,4.08131076462646e-05
54874,4.08215330226342e-05
54873,4.08299594612551e-05
54872,4.08383869618553e-05
54871,4.08468155241625e-05
54870,4.08552451479041e-05
54869,4.08636758328075e-05
54868,4.08721075785995e-05
54867,4.08805403850071e-05
54866,4.08889742517566e-05
54865,4.08974091785744e-05
54864,4.09058451651867e-05
54863,4.09142822113192e-05
54862,4.09227203166975e-05
54861,4.09311594810471e-05
54860,4.09395997040929e-05
54859,4.09475757515533e-05
54858,4.09555526960347e-05
54857,4.09635305373093e-05
54856,4.09715092751488e-05
54855,4.09794889093251e-05
54854,4.09874694396096e-05
54853,4.09954508657737e-05
54852,4.10034331875886e-05
54851,4.10114164048253e-05
54850,4.10194005172547e-05
54849,4.10273855246476e-05
54848,4.10353714267743e-05
54847,4.10433582234054e-05
54846,4.1051345914311e-05
54845,4.10593344992611e-05
54844,4.10673239780257e-05
54843,4.10753143503743e-05
54842,4.10833056160766e-05
54841,4.10912977749019e-05
54840,4.10992908266194e-05
54839,4.1107236945425e-05
54838,4.11151840195991e-05
54837,4.11231320489069e-05
54836,4.1131081033113e-05
54835,4.11390309719823e-05
54834,4.11469818652789e-05
54833,4.1154933712767e-05
54832,4.11628865142107e-05
54831,4.11708402693738e-05
54830,4.11787949780199e-05
54829,4.11867506399124e-05
54828,4.11947072548145e-05
54827,4.12026648224893e-05
54826,4.12106233426994e-05
54825,4.12185828152078e-05
54824,4.12265432397767e-05
54823,4.12345046161682e-05
54822,4.12424669441447e-05
54821,4.12504302234678e-05
54820,4.12583944538993e-05
54819,4.12659384513721e-05
54818,4.12734831906909e-05
54817,4.12810286716629e-05
54816,4.1288574894095e-05
54815,4.12961218577941e-05
54814,4.13036695625669e-05
54813,4.131121800822e-05
54812,4.13187671945601e-05
54811,4.13263171213934e-05
54810,4.13338677885263e-05
54809,4.1341419195765e-05
54808,4.13489713429154e-05
54807,4.13565242297835e-05
54806,4.13640778561752e-05
54805,4.13716322218961e-05
54804,4.13791873267519e-05
54803,4.13867431705479e-05
54802,4.13942997530896e-05
54801,4.14018570741821e-05
54800,4.14094151336306e-05
54799,4.14168806633986e-05
54798,4.14243470478041e-05
54797,4.14318142866449e-05
54796,4.14392823797192e-05
54795,4.14467513268245e-05
54794,4.14542211277584e-05
54793,4.14616917823183e-05
54792,4.14691632903014e-05
54791,4.14766356515048e-05
54790,4.14841088657254e-05
54789,4.149158293276e-05
54788,4.1499057852405e-05
54787,4.1506533624457e-05
54786,4.15140102487122e-05
54785,4.15214877249667e-05
54784,4.15289660530164e-05
54783,4.15364452326571e-05
54782,4.15439252636845e-05
54781,4.15514061458938e-05
54780,4.15588878790806e-05
54779,4.15664624902543e-05
54778,4.15740378354672e-05
54777,4.15816139145216e-05
54776,4.15891907272196e-05
54775,4.15967682733631e-05
54774,4.16043465527542e-05
54773,4.16119255651947e-05
54772,4.16195053104861e-05
54771,4.16270857884301e-05
54770,4.1634666998828e-05
54769,4.16422489414813e-05
54768,4.16498316161911e-05
54767,4.16574150227585e-05
54766,4.16649991609846e-05
54765,4.167258403067e-05
54764,4.16801696316157e-05
54763,4.16877559636222e-05
54762,4.169534302649e-05
54761,4.17029308200195e-05
54760,4.1710519344011e-05
54759,4.17179721965553e-05
54758,4.17254259594029e-05
54757,4.17328806323367e-05
54756,4.17403362151394e-05
54755,4.17477927075936e-05
54754,4.17552501094816e-05
54753,4.17627084205856e-05
54752,4.17701676406875e-05
54751,4.1777627769569e-05
54750,4.17850888070117e-05
54749,4.17925507527971e-05
54748,4.18000136067063e-05
54747,4.18074773685202e-05
54746,4.18149420380196e-05
54745,4.18224076149853e-05
54744,4.18298740991974e-05
54743,4.18373414904364e-05
54742,4.1844809788482e-05
54741,4.18522789931143e-05
54740,4.18597491041128e-05
54739,4.18667907378404e-05
54738,4.18738330713561e-05
54737,4.18808761044913e-05
54736,4.18879198370777e-05
54735,4.18949642689465e-05
54734,4.1902009399929e-05
54733,4.19090552298564e-05
54732,4.19161017585597e-05
54731,4.192314898587e-05
54730,4.19301969116178e-05
54729,4.19372455356339e-05
54728,4.19442948577491e-05
54727,4.19513448777937e-05
54726,4.19583955955982e-05
54725,4.19654470109926e-05
54724,4.19724991238073e-05
54723,4.19795519338723e-05
54722,4.19866054410175e-05
54721,4.19936596450727e-05
54720,4.20007145458676e-05
54719,4.20077701432318e-05
54718,4.20148264369948e-05
54717,4.2021883426986e-05
54716,4.20289411130347e-05
54715,4.20359994949699e-05
54714,4.20430585726207e-05
54713,4.20501183458161e-05
54712,4.20571788143848e-05
54711,4.20642399781557e-05
54710,4.20713018369572e-05
54709,4.20783643906178e-05
54708,4.2085427638966e-05
54707,4.20924915818299e-05
54706,4.20995562190379e-05
54705,4.21066215504177e-05
54704,4.21136875757974e-05
54703,4.2120754295005e-05
54702,4.21278217078679e-05
54701,4.21348898142138e-05
54700,4.21419586138703e-05
54699,4.21489844018273e-05
54698,4.21560109399011e-05
54697,4.21630382279115e-05
54696,4.21700662656783e-05
54695,4.2177095053021e-05
54694,4.21841245897593e-05
54693,4.21911548757126e-05
54692,4.21981859107001e-05
54691,4.2205217694541e-05
54690,4.22122502270541e-05
54689,4.22192835080583e-05
54688,4.22263175373725e-05
54687,4.22333523148152e-05
54686,4.22403878402048e-05
54685,4.22474241133596e-05
54684,4.22544611340978e-05
54683,4.22614989022375e-05
54682,4.22685374175965e-05
54681,4.22755766799927e-05
54680,4.22826166892437e-05
54679,4.22891360307553e-05
54678,4.2295656039686e-05
54677,4.23021767158859e-05
54676,4.2308698059205e-05
54675,4.23152200694932e-05
54674,4.23217427466003e-05
54673,4.23282660903758e-05
54672,4.23347901006692e-05
54671,4.23413147773302e-05
54670,4.23478401202079e-05
54669,4.23543661291515e-05
54668,4.23608928040102e-05
54667,4.23674201446329e-05
54666,4.23739481508686e-05
54665,4.23804768225659e-05
54664,4.23870061595737e-05
54663,4.23935361617403e-05
54662,4.24000668289142e-05
54661,4.24065981609439e-05
54660,4.24131301576776e-05
54659,4.2419183198509e-05
54658,4.24252367781174e-05
54657,4.24312908963872e-05
54656,4.24373455532023e-05
54655,4.24434007484471e-05
54654,4.24494564820056e-05
54653,4.24555127537617e-05
54652,4.24615695635996e-05
54651,4.24676269114028e-05
54650,4.24736847970554e-05
54649,4.24797432204409e-05
54648,4.24858021814431e-05
54647,4.24918616799456e-05
54646,4.24979217158318e-05
54645,4.25039822889851e-05
54644,4.25100433992889e-05
54643,4.25161050466266e-05
54642,4.25221672308814e-05
54641,4.25282299519364e-05
54640,4.25342932096747e-05
54639,4.25408378108365e-05
54638,4.2547383073607e-05
54637,4.2553928997832e-05
54636,4.25604755833575e-05
54635,4.25670228300291e-05
54634,4.25735707376925e-05
54633,4.25801193061931e-05
54632,4.25866685353762e-05
54631,4.25932184250873e-05
54630,4.25997689751715e-05
54629,4.26063201854737e-05
54628,4.26128720558391e-05
54627,4.26194245861122e-05
54626,4.2625977776138e-05
54625,4.2632531625761e-05
54624,4.26390861348258e-05
54623,4.26456413031767e-05
54622,4.26521971306579e-05
54621,4.26587536171138e-05
54620,4.26653107623883e-05
54619,4.26708628230334e-05
54618,4.26764153515469e-05
54617,4.26819683478348e-05
54616,4.26875218118028e-05
54615,4.26930757433568e-05
54614,4.26986301424025e-05
54613,4.27041850088455e-05
54612,4.27097403425915e-05
54611,4.27152961435459e-05
54610,4.27208524116144e-05
54609,4.27264091467024e-05
54608,4.2731966348715e-05
54607,4.2737524017558e-05
54606,4.27430821531362e-05
54605,4.27486407553552e-05
54604,4.275419982412e-05
54603,4.27597593593357e-05
54602,4.27653193609074e-05
54601,4.27708798287401e-05
54600,4.27764407627387e-05
54599,4.27825264183713e-05
54598,4.27886126056642e-05
54597,4.27946993244974e-05
54596,4.28007865747507e-05
54595,4.2806874356304e-05
54594,4.28129626690369e-05
54593,4.28190515128292e-05
54592,4.28251408875605e-05
